#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR2129284,179644785,179644785,179644785,173036168,96.30%,346072336,336638808,97.20%,0.20%,336638808,297143687,11.70%,56.10%,71.70%,77.80%,92.35,22,54.4,44.6,34.8,1.7
SRR2129286,188165187,188165187,188165187,159738476,84.80%,319476952,310590339,97.20%,0.17%,310590339,286271038,7.83%,56.80%,72.70%,78.30%,88.8,19,53.1,43.9,34,1.6
SRR2129288,54819140,54819140,54819140,51605359,94.10%,103210718,100341100,97.20%,0.16%,100341100,94513388,5.80%,58.50%,74.70%,80.10%,30.39,7,47.4,23.7,7.7,0
SRR2129290,103666273,103666273,103666273,87621791,84.50%,175243582,170237886,97.10%,0.15%,170237886,161175408,5.32%,56.50%,72.50%,78.30%,49.76,11,50.4,36.3,18.4,0.1
SRR2129292,121038197,121038197,121038197,117047671,96.70%,234095342,227214475,97.00%,0.19%,227214475,210204916,7.48%,56.60%,72.40%,78.20%,65.9,15,52,40.6,26,0.6
SRR2129294,213339895,213339895,213339895,202861732,95.00%,405723464,394606173,97.20%,0.19%,394606173,354099892,10.20%,55.40%,70.90%,77.10%,108.83,26,55.6,46.1,38.4,2.9
SRR2129296,96516053,96516053,96516053,92476159,95.80%,184952318,179232234,96.90%,0.40%,179232234,166246840,7.24%,55.80%,71.30%,77.10%,51.35,12,50.7,36.8,19.3,0.1
SRR2129298,93390878,93390878,93390878,89107026,95.40%,178214052,173371834,97.20%,0.14%,173371834,152519014,12.00%,57.40%,73.40%,79.00%,48.38,11,50.3,36.2,18.2,0
SRR2129300,162312456,162312456,162312456,154424287,95.10%,308848574,300129303,97.10%,0.17%,300129303,272911257,9.06%,55.50%,71.00%,77.00%,84.11,20,53.7,43.8,32.6,1.3
SRR2129302,103255925,103255925,103255925,97277590,94.20%,194555180,189019646,97.10%,0.43%,189019646,174473355,7.69%,55.80%,71.50%,77.60%,53.74,13,51.1,37.8,20.8,0.1
SRR2129304,66502745,66502745,66502745,58685081,88.20%,117370162,114034908,97.10%,0.18%,114034908,107690370,5.56%,57.10%,72.90%,78.60%,33.98,8,48.3,26.7,9.7,0
SRR2129306,235940681,235940681,235940681,207067470,87.70%,414134940,402814411,97.20%,0.19%,402814411,361670390,10.20%,56.10%,71.80%,77.90%,112.15,26,55.3,46.2,38.8,3.2
